point_type,station_name,lat,lng,member_casual,total_rides
end,Public Rack - Oak Park Ave & Foster Ave,41.975,-87.812,casual,8
end,Public Rack - Touhy Ave & Oconto Ave,42.012,-87.808,casual,20
end,Public Rack - Mont Clare Ave & Higgins Ave,41.981,-87.805,casual,10
end,Milwaukee Ave & Highland Ave,41.996,-87.787,casual,148
end,Harlem Ave & Irving Park Rd,41.953,-87.807,casual,105
end,Public Rack - Sayer & Northwest Hwy,41.994,-87.803,casual,5
end,Harlem Ave & Grace St,41.949,-87.807,casual,27
end,Kilbourn Ave & Diversey Ave,41.932,-87.739,casual,187
end,Edgebrook Metra,41.998,-87.765,casual,134
end,Narragansett Ave & McLean Ave,41.916,-87.785,casual,115
end,Lockwood Ave & Grand Ave,41.918,-87.758,casual,105
end,Narragansett Ave & Wrightwood Ave,41.927,-87.785,casual,225
end,Meade Ave & Diversey Ave,41.931,-87.778,casual,56
end,Menard Ave & North Ave,41.91,-87.77,casual,42
end,Midway Orange Line,41.787,-87.739,casual,207
end,Kilbourn Ave & Milwaukee Ave,41.949,-87.74,casual,139
end,Paulina Ave & North Ave,41.91,-87.67,casual,5088
end,Clark St & Montrose Ave,41.962,-87.666,casual,2144
end,Pine Ave & Division St,41.902,-87.764,casual,145
end,California & 16th St,41.859,-87.696,casual,99
end,Archer Ave & Wentworth Ave,41.855,-87.631,casual,1365
end,Marmora Ave & Irving Park Rd,41.953,-87.775,casual,131
end,Lawler Ave & North Ave,41.909,-87.752,casual,84
end,Austin Blvd & Chicago Ave,41.895,-87.775,casual,63
end,Central Park Ave & Elbridge Ave,41.935,-87.717,casual,1194
end,Parkside Ave & Armitage Ave,41.917,-87.767,casual,20
end,Monticello Ave & Lawrence Ave,41.968,-87.72,casual,116
end,Laramie Ave & Kinzie St,41.888,-87.756,casual,90
end,Clinton St & Lake St,41.886,-87.642,casual,3902
end,Public Rack - Minuteman Park,41.785,-87.763,casual,21
end,Hamlin Ave & Grand Ave,41.904,-87.722,casual,71
end,Knox Ave & Montrose Ave,41.961,-87.745,casual,371
end,Kilbourn Ave & Belden Ave,41.922,-87.739,casual,166
end,Public Rack - Parkside & Elston,41.985,-87.77,casual,2
end,Public Rack - Milwaukee Ave & Culyer Ave,41.955,-87.749,casual,25
end,Kostner Ave & Devon Ave,41.997,-87.738,casual,138
end,Public Rack - Bernard St & Foster Ave,41.976,-87.713,casual,15
end,Public Rack - Spaulding Ave & Bryn Mawr Ave,41.983,-87.711,casual,15
end,Southport Ave & Waveland Ave,41.948,-87.664,casual,5427
end,Damen Ave & Pierce Ave,41.909,-87.678,casual,4689
end,Spaulding Ave & Milwaukee Ave,41.931,-87.711,casual,272
end,California Ave & Milwaukee Ave,41.923,-87.697,casual,3567
end,Lowell Ave & Armitage Ave,41.917,-87.735,casual,257
end,Kedzie Ave & Palmer Ct,41.922,-87.707,casual,1308
end,Lavergne Ave & 46th St,41.809,-87.748,casual,39
end,2112 W Peterson Ave,41.991,-87.684,casual,239
end,Clark St & Lake St,41.886,-87.631,casual,5086
end,Lamon Ave & 47th St,41.808,-87.746,casual,35
end,Public Rack - Cicero Ave & Belle Plaine Ave,41.956,-87.748,casual,57
end,Damen Ave & Sunnyside Ave,41.963,-87.679,casual,1164
end,Karlov Ave & Lawrence Ave,41.968,-87.73,casual,184
end,Elston Ave & George St,41.934,-87.691,casual,586
end,Central Park Ave & North Ave,41.91,-87.717,casual,529
end,Sacramento Ave & Linden Pl,41.926,-87.703,casual,453
end,Columbus Ave & 79th St,41.749,-87.704,casual,101
end,Humboldt Blvd & Armitage Ave,41.918,-87.702,casual,1938
end,N Shore Channel Trail & Argyle St,41.972,-87.703,casual,173
end,Central Ave & Roscoe St,41.942,-87.767,casual,51
end,Public Rack - Springfield Ave & Lawrence Ave,41.968,-87.726,casual,58
end,Talman Ave & Addison St,41.947,-87.695,casual,931
end,Leavitt St & Addison St,41.947,-87.683,casual,1039
end,Cicero Ave & Roscoe Ave,41.942,-87.747,casual,109
end,St Louis Ave & Foster Ave,41.976,-87.716,casual,130
end,Damen Ave & Cortland St,41.916,-87.677,casual,3696
end,Cicero Ave & Wrightwood Ave,41.928,-87.747,casual,112
end,Kedzie Ave & Bryn Mawr Ave,41.982,-87.709,casual,332
end,Public Rack - Pulaski & Rosemont,41.995,-87.729,casual,3
end,Milwaukee Ave & Diversey Ave,41.933,-87.712,casual,128
end,Dayton St & North Ave,41.91,-87.65,casual,4141
end,Paulina St & Cortland St,41.916,-87.67,casual,648
end,Milwaukee Ave & Armitage Ave,41.918,-87.689,casual,950
end,Harding Ave & Division St,41.902,-87.725,casual,99
end,Lawndale Ave & 16th St,41.859,-87.718,casual,39
end,Kildare Ave & Archer Ave,41.8,-87.731,casual,27
end,Tripp Ave & 15th St,41.861,-87.731,casual,32
end,Hamlin Ave & 62nd Pl,41.78,-87.718,casual,37
end,California Ave & North Ave,41.91,-87.697,casual,1424
end,Central Park Ave & Bloomingdale Ave,41.914,-87.717,casual,1017
end,Lincoln Ave & Diversey Pkwy,41.932,-87.659,casual,3189
end,Lawndale Ave & 59th St,41.786,-87.716,casual,51
end,Kedzie Ave & Harrison St,41.874,-87.705,casual,42
end,Springfield Ave & 71st St,41.764,-87.72,casual,33
end,Kedzie Ave & 57th St,41.79,-87.703,casual,313
end,State St & Kinzie St,41.889,-87.627,casual,5031
end,Fairbanks Ct & Grand Ave,41.892,-87.621,casual,6386
