member_casual,start_hour,total_rides
casual,0,39224
casual,1,25200
casual,2,16684
casual,3,9307
casual,4,7419
casual,5,11828
casual,6,26800
casual,7,49643
casual,8,71394
casual,9,70512
casual,10,84921
casual,11,108208
casual,12,128312
casual,13,132738
casual,14,139947
casual,15,155399
casual,16,178472
casual,17,193362
casual,18,164947
casual,19,123855
casual,20,89650
casual,21,75762
casual,22,63925
casual,23,45327
member,0,32752
member,1,19962
member,2,11971
member,3,7801
member,4,8931
member,5,35346
member,6,103783
member,7,206434
member,8,267714
member,9,170361
member,10,145864
member,11,170482
member,12,194265
member,13,190903
member,14,194248
member,15,245339
member,16,348692
member,17,396868
member,18,306295
member,19,212207
member,20,148094
member,21,114795
member,22,82921
member,23,51276
