member_casual,start_station_name,total_rides,rank
casual,DuSable Lake Shore Dr & Monroe St,32164,2
casual,Michigan Ave & 8th St,11008,9
casual,Michigan Ave & Oak St,22817,3
casual,Montrose Harbor,10764,10
casual,Millennium Park,18719,5
casual,DuSable Lake Shore Dr & North Blvd,19837,4
casual,Shedd Aquarium,16826,6
casual,Navy Pier,53222,1
casual,Theater on the Lake,16226,7
casual,Dusable Harbor,15260,8
member,Clark St & Elm St,18722,7
member,Clinton St & Jackson Blvd,18603,8
member,Wells St & Concord Ln,18888,6
member,Clinton St & Madison St,20155,4
member,State St & Chicago Ave,20330,3
member,Canal St & Madison St,22256,1
member,Wells St & Huron St,18140,10
member,Wells St & Elm St,19195,5
member,Clinton St & Washington Blvd,20559,2
member,Kingsbury St & Kinzie St,18197,9
